name,rating,price,review,brand,link,user_id
"Stryve Protein Variety Snack Pack | Air Dried 100% Beef Biltong | Lighter than Jerky | No Carb, No Sugar | 16g Protein | 4 Pack of 2.25oz",4.1,26.99,"1,248",Visit the Stryve Protein Snacks Store,https://www.amazon.com,B07B3ZC5KX
"Stryve Biltong, Beef Jerky without the Junky. 16g Protein, Sugar Free, No Carbs, Gluten Free, No Nitrates, No MSG, No Preservatives. Keto and Paleo Friendly. Original, 12oz",4.1,23.99,620,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B07JFB6PC7
"Stryve Biltong, Beef Jerky without the Junky. 16g Protein, Sugar Free, No Carbs, Gluten Free, No Nitrates, No MSG, No Preservatives. Keto and Paleo Friendly. SPICY Garlic, 4oz",4.1,10.99,160,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B0753XYB8N
"Stryve Mini Snack Beef Sticks. 14g Protein, Sugar Free, No Carbs, Gluten Free, No Nitrates, No MSG, No Preservatives. Keto and Paleo Friendly. Original, 16oz",3.7,24.99,533,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B07KX779MD
"Stryve Protein Snacks Beef Sticks. 14g Protein, Sugar Free, No Carbs, Gluten Free, No Nitrates, No MSG, No Preservatives. Keto and Paleo Friendly. Variety 24-Count",4.3,38.99,40,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B086WPT3Z2
"Stryve Beef Biltong, Grass-fed Biltong Jerky, 16g Protein, 0g Sugar, 1g Carb, Gluten Free, No Hormones, No Antibiotics, No Preservatives, No Nitrates - Smoked, 2oz",4.1,7.99,56,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B08DRXB3FZ
"Stryve Protein Snacks Beef Sticks. 14g Protein, Sugar Free, No Carbs, Gluten Free, No Nitrates, No MSG, No Preservatives. Keto and Paleo Friendly. Spicy Peri Peri, 12-Count",4.2,19.99,68,Visit the Stryve Protein Snacks Store,https://www.amazon.com,B07FW7KP4J
"Brooklyn Biltong - CARNIVORE Snack, Air Dried Grass Fed Beef, South African Beef Jerky - AIP Approved, Paleo, Keto, Gluten Free, Only Salt, Water, and Vinegar, Made in USA - 16 oz. Bag",3.6,34.99,73,Visit the Brooklyn Biltong Store,https://www.amazon.com,B081ZFWWR4
"Variety Pack Kalahari Biltong, Air-Dried Thinly Sliced Beef, 2oz (Pack of 4), Sugar Free, Gluten Free, Keto & Paleo, High Protein Snack",4.1,29.99,267,Visit the Kalahari Biltong Store,https://www.amazon.com,B07Z11Q815
"Braaitime Biltong - South African Seasoned Dried Beef Jerky Sliced - Spicy Peri Peri, 16oz",3.9,29.99,44,Brand: Braaitime,https://www.amazon.com,B06ZZHH5X6
"Brooklyn Biltong - Air Dried Grass Fed Beef Snack, South African Beef Jerky - Whole30 Approved, Paleo, Keto, Gluten Free, Sugar Free, Made in USA - 2 oz. Bags, 3 Count (Lemon Pepper)",4,19.99,37,Visit the Brooklyn Biltong Store,https://www.amazon.com,B07WTPGXMP
